8,10,2,4,5,7,9,1,6,3
9,5,10,1,2,4,8,0,3,6
8,7,0,2,3,1,6,5,10,4
7,6,9,3,2,1,0,8,4,10
10,7,8,3,6,1,0,5,4,9
7,5,3,9,8,0,1,6,10,2
2,4,5,9,8,0,3,1,7,6
3,4,6,1,8,0,5,7,10,9
1,8,0,10,3,7,9,6,4,2
3,2,8,4,1,9,5,0,10,7
2,10,1,4,7,3,0,6,8,9
3,0,6,2,5,9,4,10,7,1
4,6,2,7,9,10,8,3,0,1
5,6,10,8,9,7,3,1,0,2
2,7,1,6,9,0,8,10,5,3
6,3,4,0,5,1,10,2,9,8
4,9,8,2,5,0,10,6,7,3
4,8,6,3,5,1,0,9,2,7
2,4,9,1,3,5,7,8,10,0
0,10,1,8,6,9,7,3,4,2
7,1,0,3,4,8,6,2,5,9
3,6,7,4,0,9,2,1,5,10
2,1,6,10,0,7,9,4,5,3
4,1,10,8,6,3,0,7,5,2
1,4,0,6,8,10,7,5,9,3
3,8,2,6,1,10,9,5,4,0
4,6,3,1,2,10,7,8,0,9
6,4,3,9,8,7,2,0,1,5
2,9,7,1,10,0,3,4,5,8
8,6,9,10,3,0,5,7,1,4
2,8,6,3,10,1,9,0,7,5
0,9,4,1,6,10,8,2,7,3
0,10,9,3,6,8,2,4,5,1
5,7,2,1,9,8,3,0,10,4
7,9,1,0,3,8,2,6,10,4
