8,7,1,6,11,10,4,2,5,0,3,9
0,9,8,2,3,7,10,5,6,11,4,1
6,10,0,3,9,5,7,8,1,11,4,2
1,10,5,9,8,2,7,3,11,4,0,6
11,9,1,8,10,0,5,3,6,2,4,7
1,9,10,5,7,11,4,3,6,8,0,2
7,10,4,9,2,1,11,5,3,0,8,6
11,7,5,8,0,3,9,2,4,10,6,1
5,6,4,3,0,10,9,1,7,11,2,8
7,0,2,8,1,6,10,4,11,9,3,5
5,0,6,10,2,3,11,1,7,9,8,4
7,0,2,8,10,3,1,5,11,4,6,9
7,11,1,8,4,9,6,2,0,5,10,3
4,3,9,7,6,1,5,8,0,11,2,10
10,9,8,3,2,4,7,1,5,6,11,0
8,11,7,3,2,10,6,5,0,1,4,9
2,9,4,1,10,6,0,5,8,7,11,3
7,1,2,3,5,4,11,6,0,9,10,8
2,9,8,5,3,11,10,7,6,1,4,0
5,8,3,2,10,6,0,1,11,9,4,7
11,10,7,0,1,2,3,8,4,5,9,6
4,2,1,0,9,11,5,3,10,8,7,6
1,11,4,6,9,2,5,10,3,8,0,7
6,11,2,1,7,8,0,5,9,4,3,10
11,3,9,5,10,2,1,0,4,6,7,8
11,3,8,6,5,0,1,4,10,9,7,2
5,0,3,4,2,6,11,1,10,7,8,9
0,10,6,9,8,4,7,5,3,2,1,11
6,4,11,0,5,1,2,8,9,10,3,7
11,1,7,9,10,4,2,5,0,8,6,3
0,7,8,4,6,3,9,2,1,5,10,11
5,8,9,2,10,6,4,11,0,7,1,3
10,2,11,4,0,6,3,9,8,1,7,5
1,10,2,5,3,4,6,11,8,0,9,7
9,0,7,8,2,5,11,10,4,6,1,3
